title_de_CH,title_fr_CH,title_it_CH,title_rm_CH,date,shortcode,domain,status,type,district,name,entity_id,counted,yeas,nays,invalid,empty,eligible_voters,expats
Änderung vom 19. März 2021 des Covid-19-Gesetzes,Modification du 19 mars 2021 de la loi COVID-19,Modifica del 19 marzo 2021 della legge COVID-19,Midada dals 19 da mars 2021 da la Lescha COVID-19,2021-11-28,E3,federation,final,proposal,Prättigau/Davos,Jenaz,3863,True,261,344,0,4,874,
Änderung vom 19. März 2021 des Covid-19-Gesetzes,Modification du 19 mars 2021 de la loi COVID-19,Modifica del 19 marzo 2021 della legge COVID-19,Midada dals 19 da mars 2021 da la Lescha COVID-19,2021-11-28,E3,federation,final,proposal,Prättigau/Davos,Klosters,3871,True,1083,1137,6,8,3145,
Änderung vom 19. März 2021 des Covid-19-Gesetzes,Modification du 19 mars 2021 de la loi COVID-19,Modifica del 19 marzo 2021 della legge COVID-19,Midada dals 19 da mars 2021 da la Lescha COVID-19,2021-11-28,E3,federation,final,proposal,Prättigau/Davos,Küblis,3882,True,151,256,10,2,619,
Änderung vom 19. März 2021 des Covid-19-Gesetzes,Modification du 19 mars 2021 de la loi COVID-19,Modifica del 19 marzo 2021 della legge COVID-19,Midada dals 19 da mars 2021 da la Lescha COVID-19,2021-11-28,E3,federation,final,proposal,Prättigau/Davos,Luzein,3891,True,330,599,5,7,1269,
Änderung vom 19. März 2021 des Covid-19-Gesetzes,Modification du 19 mars 2021 de la loi COVID-19,Modifica del 19 marzo 2021 della legge COVID-19,Midada dals 19 da mars 2021 da la Lescha COVID-19,2021-11-28,E3,federation,final,proposal,Prättigau/Davos,Schiers,3962,True,568,654,10,4,1896,
Änderung vom 19. März 2021 des Covid-19-Gesetzes,Modification du 19 mars 2021 de la loi COVID-19,Modifica del 19 marzo 2021 della legge COVID-19,Midada dals 19 da mars 2021 da la Lescha COVID-19,2021-11-28,E3,federation,final,proposal,Prättigau/Davos,Seewis im Prättigau,3972,True,367,384,8,1,1069,
Änderung vom 19. März 2021 des Covid-19-Gesetzes,Modification du 19 mars 2021 de la loi COVID-19,Modifica del 19 marzo 2021 della legge COVID-19,Midada dals 19 da mars 2021 da la Lescha COVID-19,2021-11-28,E3,federation,final,proposal,Surselva,Breil/Brigels,3981,True,492,396,3,6,1383,
Änderung vom 19. März 2021 des Covid-19-Gesetzes,Modification du 19 mars 2021 de la loi COVID-19,Modifica del 19 marzo 2021 della legge COVID-19,Midada dals 19 da mars 2021 da la Lescha COVID-19,2021-11-28,E3,federation,final,proposal,Surselva,Disentis/Mustér,3982,True,719,359,5,4,1559,
Änderung vom 19. März 2021 des Covid-19-Gesetzes,Modification du 19 mars 2021 de la loi COVID-19,Modifica del 19 marzo 2021 della legge COVID-19,Midada dals 19 da mars 2021 da la Lescha COVID-19,2021-11-28,E3,federation,final,proposal,Surselva,Falera,3572,True,220,107,0,6,467,
Änderung vom 19. März 2021 des Covid-19-Gesetzes,Modification du 19 mars 2021 de la loi COVID-19,Modifica del 19 marzo 2021 della legge COVID-19,Midada dals 19 da mars 2021 da la Lescha COVID-19,2021-11-28,E3,federation,final,proposal,Surselva,Ilanz/Glion,3619,True,1289,982,20,10,3537,
Änderung vom 19. März 2021 des Covid-19-Gesetzes,Modification du 19 mars 2021 de la loi COVID-19,Modifica del 19 marzo 2021 della legge COVID-19,Midada dals 19 da mars 2021 da la Lescha COVID-19,2021-11-28,E3,federation,final,proposal,Surselva,Laax,3575,True,629,335,13,3,1368,
Änderung vom 19. März 2021 des Covid-19-Gesetzes,Modification du 19 mars 2021 de la loi COVID-19,Modifica del 19 marzo 2021 della legge COVID-19,Midada dals 19 da mars 2021 da la Lescha COVID-19,2021-11-28,E3,federation,final,proposal,Surselva,Lumnezia,3618,True,617,495,4,8,1713,
Änderung vom 19. März 2021 des Covid-19-Gesetzes,Modification du 19 mars 2021 de la loi COVID-19,Modifica del 19 marzo 2021 della legge COVID-19,Midada dals 19 da mars 2021 da la Lescha COVID-19,2021-11-28,E3,federation,final,proposal,Surselva,Medel (Lucmagn),3983,True,143,74,0,0,313,
Änderung vom 19. März 2021 des Covid-19-Gesetzes,Modification du 19 mars 2021 de la loi COVID-19,Modifica del 19 marzo 2021 della legge COVID-19,Midada dals 19 da mars 2021 da la Lescha COVID-19,2021-11-28,E3,federation,final,proposal,Surselva,Obersaxen Mundaun,3988,True,373,258,2,5,922,
Änderung vom 19. März 2021 des Covid-19-Gesetzes,Modification du 19 mars 2021 de la loi COVID-19,Modifica del 19 marzo 2021 della legge COVID-19,Midada dals 19 da mars 2021 da la Lescha COVID-19,2021-11-28,E3,federation,final,proposal,Surselva,Safiental,3672,True,300,269,15,9,785,
Änderung vom 19. März 2021 des Covid-19-Gesetzes,Modification du 19 mars 2021 de la loi COVID-19,Modifica del 19 marzo 2021 della legge COVID-19,Midada dals 19 da mars 2021 da la Lescha COVID-19,2021-11-28,E3,federation,final,proposal,Surselva,Sagogn,3581,True,280,120,2,0,562,
Änderung vom 19. März 2021 des Covid-19-Gesetzes,Modification du 19 mars 2021 de la loi COVID-19,Modifica del 19 marzo 2021 della legge COVID-19,Midada dals 19 da mars 2021 da la Lescha COVID-19,2021-11-28,E3,federation,final,proposal,Surselva,Schluein,3582,True,162,108,1,0,413,
Änderung vom 19. März 2021 des Covid-19-Gesetzes,Modification du 19 mars 2021 de la loi COVID-19,Modifica del 19 marzo 2021 della legge COVID-19,Midada dals 19 da mars 2021 da la Lescha COVID-19,2021-11-28,E3,federation,final,proposal,Surselva,Sumvitg,3985,True,375,246,8,2,960,
Änderung vom 19. März 2021 des Covid-19-Gesetzes,Modification du 19 mars 2021 de la loi COVID-19,Modifica del 19 marzo 2021 della legge COVID-19,Midada dals 19 da mars 2021 da la Lescha COVID-19,2021-11-28,E3,federation,final,proposal,Surselva,Trun,3987,True,357,228,4,0,929,
Änderung vom 19. März 2021 des Covid-19-Gesetzes,Modification du 19 mars 2021 de la loi COVID-19,Modifica del 19 marzo 2021 della legge COVID-19,Midada dals 19 da mars 2021 da la Lescha COVID-19,2021-11-28,E3,federation,final,proposal,Surselva,Tujetsch,3986,True,470,156,17,1,969,
Änderung vom 19. März 2021 des Covid-19-Gesetzes,Modification du 19 mars 2021 de la loi COVID-19,Modifica del 19 marzo 2021 della legge COVID-19,Midada dals 19 da mars 2021 da la Lescha COVID-19,2021-11-28,E3,federation,final,proposal,Surselva,Vals,3603,True,307,132,1,4,715,
Änderung vom 19. März 2021 des Covid-19-Gesetzes,Modification du 19 mars 2021 de la loi COVID-19,Modifica del 19 marzo 2021 della legge COVID-19,Midada dals 19 da mars 2021 da la Lescha COVID-19,2021-11-28,E3,federation,final,proposal,Viamala,Andeer,3701,True,249,205,8,1,695,
Änderung vom 19. März 2021 des Covid-19-Gesetzes,Modification du 19 mars 2021 de la loi COVID-19,Modifica del 19 marzo 2021 della legge COVID-19,Midada dals 19 da mars 2021 da la Lescha COVID-19,2021-11-28,E3,federation,final,proposal,Viamala,Avers,3681,True,39,46,2,0,135,
Änderung vom 19. März 2021 des Covid-19-Gesetzes,Modification du 19 mars 2021 de la loi COVID-19,Modifica del 19 marzo 2021 della legge COVID-19,Midada dals 19 da mars 2021 da la Lescha COVID-19,2021-11-28,E3,federation,final,proposal,Viamala,Cazis,3661,True,541,504,3,2,1658,
Änderung vom 19. März 2021 des Covid-19-Gesetzes,Modification du 19 mars 2021 de la loi COVID-19,Modifica del 19 marzo 2021 della legge COVID-19,Midada dals 19 da mars 2021 da la Lescha COVID-19,2021-11-28,E3,federation,final,proposal,Viamala,Domleschg,3673,True,658,556,23,11,1696,
Änderung vom 19. März 2021 des Covid-19-Gesetzes,Modification du 19 mars 2021 de la loi COVID-19,Modifica del 19 marzo 2021 della legge COVID-19,Midada dals 19 da mars 2021 da la Lescha COVID-19,2021-11-28,E3,federation,final,proposal,Viamala,Ferrera,3713,True,23,19,0,0,60,
Änderung vom 19. März 2021 des Covid-19-Gesetzes,Modification du 19 mars 2021 de la loi COVID-19,Modifica del 19 marzo 2021 della legge COVID-19,Midada dals 19 da mars 2021 da la Lescha COVID-19,2021-11-28,E3,federation,final,proposal,Viamala,Flerden,3662,True,72,76,0,1,196,
Änderung vom 19. März 2021 des Covid-19-Gesetzes,Modification du 19 mars 2021 de la loi COVID-19,Modifica del 19 marzo 2021 della legge COVID-19,Midada dals 19 da mars 2021 da la Lescha COVID-19,2021-11-28,E3,federation,final,proposal,Viamala,Fürstenau,3633,True,86,92,1,1,251,
Änderung vom 19. März 2021 des Covid-19-Gesetzes,Modification du 19 mars 2021 de la loi COVID-19,Modifica del 19 marzo 2021 della legge COVID-19,Midada dals 19 da mars 2021 da la Lescha COVID-19,2021-11-28,E3,federation,final,proposal,Viamala,Masein,3663,True,171,103,2,1,394,
Änderung vom 19. März 2021 des Covid-19-Gesetzes,Modification du 19 mars 2021 de la loi COVID-19,Modifica del 19 marzo 2021 della legge COVID-19,Midada dals 19 da mars 2021 da la Lescha COVID-19,2021-11-28,E3,federation,final,proposal,Viamala,Muntogna da Schons,3715,True,108,84,0,4,299,
