Famous_Person,Muncipality
"Beatrice Obrecht Delgado (* 1966), Sängerin",Davos
"Hans Domenig (* 1934), Pfarrer",Davos
"Juri Elperin (1917–2015), russisch-deutscher Übersetzer",Davos
"Andreas Fabricius, (um 1480; † 1552), Reformator",Davos
"Jürg Federspiel (1931–2007), Schriftsteller",Davos
"Helene Fischer (1900–1978), Fotografin",Davos
"Marc Forster (* 1969), Regisseur, Ehrenbürger von Davos",Davos
"Ernst Haefliger (1919–2007), Tenor",Davos
"Conrad Jon Godly (* 1962), Künstler",Davos
"Urs Gredig (* 1970), Journalist und Fernsehmoderator",Davos
"Lise Gujer (1893–1967), Textilkünstlerin",Davos
"Thomas Hirschhorn (* 1957), Künstler",Davos
"Arthur Honegger (* 1979), Journalist, Moderator und Autor",Davos
"Franz Holper (1862–1935), Künstler",Davos
"Roman Norbert Ketterer (1911–2002; Auktionator, Galerist, Kunsthändler, Ehrenbürger) und seine Ehefrau Rosemarie",Davos
"Klabund (1890–1928), Schriftsteller",Davos
"Ernst Ludwig Kirchner (1880–1938), Künstler",Davos
"Eberhard W. Kornfeld (* 1923), Kunstsammler, Kunsthändler und Ehrenbürger der Landschaft Davos",Davos
"Emil Meerkämper (1877–1948), Fotograf",Davos
"Leonhard Meisser (1803–1872), Geistlicher und Kirchenlieddichter",Davos
"Robert Louis Stevenson (1850–1894), Schriftsteller",Davos
"Erwin Poeschel (1884–1965), Kunsthistoriker",Davos
"Peter Studer (* 1935), Jurist und Publizist",Davos
"Sophie Taeuber-Arp (1889–1943), Künstlerin",Davos
"Hans Valär (1871–1947), Architekt und Kurdirektor; Verfasser von Mundartliteratur",Davos
"Martina Accola (* 1969), Skirennfahrerin",Davos
"Paul Accola (* 1967), Skirennfahrer",Davos
"Andres Ambühl (* 1983), Eishockeyspieler",Davos
"Hans Dürst (1921–2001), und Walter «Watschga» Dürst (1927–2016), Eishockeyspieler",Davos
"Kim Gubser (* 2000), Freestyle-Skier",Davos
"Christian Haller (* 1989), Snowboarder",Davos
"Konstantin Harter (1925–2013), Eishockeyspieler",Davos
"Beni Hofer (* 1978), Skirennfahrer",Davos
"Ambrosi Hoffmann (* 1977), Skirennfahrer",Davos
"Markus «Mä» Keller (* 1982), Snowboarder",Davos
"Philipp Kurashev (* 1999), Eishockeyspieler",Davos
"Milena Meisser (* 1979), Snowboarderin",Davos
"Daniela Meuli (* 1981), Snowboarderin",Davos
"Stefanie Müller (* 1992), Snowboarderin",Davos
"Jan Neuenschwander (* 1993), Eishockeyspieler",Davos
"Ernst Reiss (1920–2010), Bergsteiger",Davos
"Carmen Schäfer (* 1981), Curlerin",Davos
"Andrea Senteler (* 1977), Skilangläufer",Davos
"Bibi Torriani (1911–1988), sowie die Gebrüder Hans Cattini (1914–1987) und «Pic» Cattini (1916–1969), bekannt als ni-Sturm, Eishockeyspieler",Davos
"Thomas Wellinger (* 1988), Eishockeyspieler",Davos
"Tarzisius Caviezel (* 1954), Landammann Davos, Nationalrat, Manager und Eischockeyfunktionär",Davos
"Johannes Guler von Wyneck (1562–1637), Chronist, Offizier und Landammann",Davos
"Willem Jan Holsboer (1834–1898), Hotelier, Erbauer der RhB und Grossrat",Davos
"Johann Luzius Isler (1810–1877), Bündner Konditor und Unternehmer",Davos
"Gaudenz Issler (1853–1942), Baumeister und Landammann",Davos
"Andreas Laely (1864–1955), Politiker, Redaktor und Lokalhistoriker",Davos
"Hilde Schwab (* 1946), Ehrenbürgerin",Davos
"Klaus Schwab (* 1938), Gründer des Weltwirtschaftsforum, Ehrenbürger",Davos
"Fortunat Sprecher (1585–1647), Jurist, Diplomat und Chronist",Davos
"Ursula Wyss (* 1973), Politikerin",Davos
"Jakob Bundi (1565–1614), Abt von Kloster Disentis",Disentis/Mustér
"Placidus a Spescha (1752–1833), Benediktinerpater",Disentis/Mustér
"Placi Condrau (1819–1902), Politiker",Disentis/Mustér
"Duri Sialm (1891–1961), Komponist",Disentis/Mustér
"Flurin Maissen (1906–1999), Benediktinerpater",Disentis/Mustér
"Pankraz Winiker (1925–2013), Abt von Kloster Disentis",Disentis/Mustér
"Walter Wittmann (1935–2016), Wirtschaftswissenschaftler",Disentis/Mustér
"Dumeni Columberg (* 1941), Politiker",Disentis/Mustér
"Gion Antoni Bühler (1825–1897), Autor, Sprachpfleger, Lehrer",Domat/Ems
"Dominikus Willi OCist (1844–1913), Abt von Marienstatt, Bischof von Limburg",Domat/Ems
"Giulio Haas (* 1956), Diplomat",Domat/Ems
"Flurin Spescha (1958–2000), Autor und Publizist, hier geboren",Domat/Ems
"Hendri Spescha (1928–1982), Autor und Politiker",Domat/Ems
"Mauro Jörg (* 1990), Eishockeyspieler",Domat/Ems
"Bartholomäus Anhorn der Ältere (1566–1642), evangelisch-reformierter Pfarrer und Historiker in Graubünden und Appenzell, in Fläsch 1586–1612",Fläsch
"Bartholomäus Anhorn der Jüngere (1616–1700), evangelisch-reformierter Pfarrer und Historiker in Graubünden, Appenzell, St. Gallen, Pfalz, Thurgau und Zürich",Fläsch
"Köbi Gantenbein (* 1956), Journalist, Buchautor, Chefredaktor Hochparterre und Verleger",Fläsch
"Andreas Caminada (* 1977), Koch, wohnte bis 2019 in Fläsch",Fläsch
"Johann Anton Caflisch (1860–1925), Jurist und Politiker",Flerden
"Martin Accola (1928–2012), Pfarrer und Dekan der reformierten Bündnerkirche",Flims
"Sina Candrian (* 1988), Snowboarderin",Flims
"Hans von Capol (1470–1560), Hauptmann, Ammann von Flims und Landrichter",Flims
"Wolf von Capol (1473–1563), Müller und Ammann von Flims",Flims
Gian Fontana (1897–1935) Schriftsteller,Flims
"Stefan Gabriel (1570–1638), evangelisch-reformierter Pfarrer in Flims 1593–1599 und Begründer der rätoromanischen Schriftsprache des surselvischen Idioms",Flims
"Lucius Gabriel (1597–1663), evangelisch-reformierter Pfarrer in Flims 1632–1638 und 1638–1663 und Bibelübersetzer in die rätoromanische Schriftsprache des surselvischen Idioms",Flims
"Jules Geiger (1898–1987), Fotograf und Postkartenverlag",Flims
"Reto Gurtner (* 1955), Ökonom, Jurist und Tourismus-Unternehmer",Flims
"Theodore Garbade (1873–1961), Bankier, Präsident des Verbandes der Zigarrenhersteller Kubas",Flims
"Rainer Küschall (* 1947), mehrfacher Paralympics-Gewinner, Weltmeister, Rennfahrer und Rollstuhldesigner, wuchs in Flims auf",Flims
"Oreste Olgiati (* 23. April 1869 in Poschiavo; † 3. Oktober 1920 in Flims), Bündner Grossrat, Stadtpräsident von Chur, Regierungsrat",Flims
"Rudolf Olgiati (1910–1995), Architekt in Flims",Flims
"Valerio Olgiati (* 1958), Architekt und Architekturprofessor",Flims
"Andri Ragettli (* 1998), Freeskier",Flims
"Daniel Schmid (1941–2006), Filmemacher, wuchs im Hotel Schweizerhof auf",Flims
"August Schröder (1908–1993), Landesarchivar im LWL-Archivamt für Westfalen in Münster, Träger des Bundesverdienstkreuzes, die Stadt Fürstenau verlieh ihm die Ehrenbürgerschaft, in Hollenstede geboren",Fürstenau
"Bernhard Süskind (1921–2018), Opfer des Nationalsozialismus, Ehrenbürger von Fürstenau",Fürstenau
"Hinrich Just Müller (1740–1811), überregional bekannter Orgelbauer",Fürstenau
"August von Eye (1825–1896), Dichter, Philosoph, Schriftsteller, Kultur- und Kunsthistoriker und Maler",Fürstenau
"Wilhelm Varenhorst (1865–1944), Jurist und Politiker (DRP)",Fürstenau
"Bernhard Haverkamp (1875–1935), Kaufmann und Politiker (Zentrum)",Fürstenau
"Wilhelm Canenbley (1901–1973), Landwirtschaftsfunktionär",Fürstenau
"Franz Berding (1915–2010), Politiker (CDU), 1966 war er Landesminister in Nordrhein-Westfalen, zwischen 1969 und 1972 Bundestagsmitglied",Fürstenau
"Ida Raming (* 1932), katholische Theologin und Autorin",Fürstenau
"Reinhard Freiherr von Schorlemer (* 1938), Land- und Forstwirt, Politiker (CDU), von 1980 bis 2002 Bundestagsmitglied sowie von 1988 bis 1992 Präsident der Schutzgemeinschaft Deutscher Wald (SDW)",Fürstenau
"Willi Reimann (* 1949), Fußballprofi und Trainer",Fürstenau
"Karl-Heinz Menke (* 1950), Theologe, Priester und Seelsorger, Professor für Dogmatik und Theologische Propädeutik an der Katholisch-Theologischen Fakultät der Universität Bonn",Fürstenau
"Uwe Jursch (* 1963), Fußballprofi beim VfL Osnabrück und Hannover 96, mit Hannover 96 wurde er 1992 DFB-Pokalsieger",Fürstenau
"Oda Thormeyer (* 1964), Schauspielerin",Fürstenau
"Dirk van den Boom (* 1966), Schriftsteller",Fürstenau
"Personen, die mit der Stadt in Verbindung stehen",Fürstenau
"Gottfried von Arnsberg (um 1285–1363), Bischof von Osnabrück und Bremen und gründete die Burg Fürstenau",Fürstenau
"Heinrich II. von Moers (vermutlich 1391–1450), Bischof von Münster und Osnabrück und erkor Fürstenau zu seiner Residenz",Fürstenau
"Erich von Braunschweig-Grubenhagen (1478–1532), von 1508 bis 1532 Fürstbischof von Paderborn und Osnabrück und im Jahr 1532 gewählter Bischof von Münster, er verstarb in seiner Fürstenauer Residenz",Fürstenau
"Konrad III. von Diepholz (1424–1482), von 1455 bis 1482 Bischof von Osnabrück, verstarb in Fürstenau",Fürstenau
"Franz von Waldeck (wahrscheinlich 1491–1553), ab 1532 Bischof von Osnabrück und Münster, Administrator von Minden und Kölner Domherr",Fürstenau
"Konrad VI. (Rietberg) († 1508), Bischof von Münster und Osnabrück",Fürstenau
"Johann II. von Hoya (1529–1574), Fürstbischof von Osnabrück, Münster und Paderborn, die Fürstenauer Burg erweiterte er zu einem Schloss mit Parkanlagen, das sein ständiger Wohnsitz war",Fürstenau
"Heinrich von Sachsen-Lauenburg (1550–1585), Erzfürstbischof von Bremen (Heinrich III.), Fürstbischof von Osnabrück (Heinrich II.) und von Paderborn (Heinrich IV.)",Fürstenau
"Bernhard von Waldeck (1561–1591), Bischof von Osnabrück",Fürstenau
"Philipp Sigismund von Braunschweig-Wolfenbüttel (1568–1623), Fürstbischof von Osnabrück und Verden",Fürstenau
"Hans Christoph von Königsmarck (1600–1663), Heerführer in schwedischen Diensten und belagerte 1647 Fürstenau",Fürstenau
"Michael Wilhelm Kobolt von Tambach († 1667), Militärkommandant und Drost von Fürstenau, er leitete 1637 die Verteidigung Fürstenaus gegen den Landgrafen Wilhelm von Hessen",Fürstenau
"Günter Sponheuer (* 1945), freischaffender Maler und Diplom-Designer",Fürstenau
"Dirk Hafemeister (1958–2017), Reitprofi, bei den Olympischen Sommerspielen 1988 in Seoul gewann er eine Goldmedaille im „Springreiten Mannschaft Mixed“, ein weiterer Erfolg mit der Deutschen Springreiter Equipe ist der Weltmeistertitel 1994",Fürstenau
"Luciana Diniz (* 1970), wohnte und trainierte ein paar Jahre lang in Schwagstorf, Brasilianische Springreiterin und Teilnehmerin der Olympischen Sommerspiele 2004 in Athen und bei der Weltmeisterschaft 1994 in Den Haag",Fürstenau
"Doris Achelwilm (* 1976), Journalistin, Politikerin (Die Linke) und Bundestagsabgeordnete, aufgewachsen in Hollenstede",Fürstenau
"Simon Herrmann (* 1985), er ist im Wasserski bislang zweifacher Europameister 2003, Deutscher Meister im Slalom und Weltmeister im Slalom 2008, er trug sich im Jahre 2004 ins Goldene Buch der Stadt Fürstenau ein",Fürstenau
Familie de Sacco,Grono
"Giacomo de Sacco (* um 1480 in Grono; † nach 1519), Podestà in Traona.",Grono
"Giovanni Pietro de Sacco (* um 1500 in Grono; † 1552 ebenda), Hauptmann, Vikar im Sondrio (1537–1539)",Grono
"Filippo de Sacco (* um 1640 in Grono; † nach 1687 ebenda), Oberbürgermeister in Piuro (1685–1687)",Grono
"Enrico de Sacco (* um 1740 in Grono; † nach 1783 ebenda), aus Grono, Landvogt im Maienfeld (1781–1783)",Grono
"Familie Tognola, eröffnete im 19. Jahrhundert in Grono eine BierbrauereiGiacomo Tognola (* um 1560 in Grono; † nach 1611 ebenda), Notar, Landvogt im Maienfeld (1609–1611)",Grono
"Pietro Tognola (* um 1710 in Grono; † nach 1759 ebenda), Oberbürgermeister in Bormio (1757–1759)",Grono
"Pietro Luigi Vitale Tognola (* um 1730 in Grono; † nach 1777 ebenda), Oberbürgermeister in Bormio (1775–1777)",Grono
"Gaspare Tognola (* 1874 in Grono; † 1950 ebenda), Autor",Grono
"Giorgio Tognola (* 1941 in Grono), Sekundarlehrer, Lokalhistoriker, Autor, wohnt in Bedano, Präsident der Fondazione Archivio a Marca",Grono
"Lulo (Giulio) Tognola (* 6. September 1947 in Grono), Graphiker, IllustratorBaldassare Splendore (* um 1620 in Grono; † nach 1657 ebenda), Oberbürgermeister in Bormio (1655–1657)",Grono
"Giuseppe Filippo Nisoli (* um 1720 in Grono; † nach 1767 ebenda), Oberbürgermeister in Tirano (1765–1767).",Grono
"Aurelio Bianchi-Giovini (1799–1862), Journalist",Grono
"Silvio Giovanoli (* 5. August 1902 in Chur; † 2. März 1981 ebenda), aus Soglio GR, Ehrenbürger von Grono, Bundesrichter",Grono
"Bartholomäus Anhorn der Jüngere (1616–1700), 1634 evangelisch-reformierter Pfarrer und Historiker in Grüsch",Grüsch
"Jakob Rudolf Truog (1865–1953), Pfarrer in Jenaz, Kirchenhistoriker",Jenaz
"Ladina Bordoli (* 1984), Autorin",Jenaz
"Johannes Hitz (1772–1838), Klosterser Landammann, Verwalter und Pächter des Bergwerks Silberberg in Davos. Hat die Zinkgewinnung in den USA eingeführt.",Klosters
"Hans (John) Hitz (1797–1864), (Sohn von Johannes) Bergbauingenieur und Generalkonsul der Schweiz in den USA von 1853–1864",Klosters
"Johann Rudolf Brosi (1801–1877), Ständerat und Bundesrichter",Klosters
"Hermann Huber (1888–1967), Maler, Freskant, Zeichner, Radierer und Lithograf. Mit Eveline Huber-Grisebach, wohnhaft in Klosters-Dorf und Schwendi, Monbiel  1918–1925",Klosters
"Liliana Brosi (* 28. November 1934 in Cantù), Malerin, Grafikerin, Zeichnerin und Galeristin",Klosters
"Anton Allemann (1936–2008), Fussballspieler",Klosters
"Beat Bolliger (1941–2008), Koch",Klosters
"Josef Minsch (1941–2008), Skirennfahrer",Klosters
"Heinz Brand (* 1955), Nationalrat ab 2011",Klosters
"Markus Huppenbauer (1958–2020), Ethiker und Hochschullehrer",Klosters
"Coni Allemann (* 1963), Musiker, Schriftsteller, Kabarettist",Klosters
"Seraina Boner (* 1982), Skilangläuferin",Klosters
"Gian-Andrea Thöny (* 1992), Eishockeyspieler",Klosters
"Nicolin Sererhard (1689–1756), reformierter Pfarrer und Chronist",Küblis
"Nina Caprez (* 1986), Sportkletterin",Küblis
"Marc Wieser (* 1987), Eishockeyspieler",Küblis
"Dino Wieser (* 1989), Eishockeyspieler",Küblis
"Harry Braillard (* 1999), Unihockeyspieler",Küblis
"Hans Ardüser (1557 – nach 1614), Bündner Wandermaler, Lehrer und Chronist",Lantsch/Lenz
"Joseph Michael Willi (1824–1897), Jesuit, Missionar und Pädagoge",Lantsch/Lenz
"Anton Thaddäus von Sumerau (1697–1771), erster Regierungspräsident Vorderösterreichs",Lantsch/Lenz
"Philipp Gallicius (1504–1566), Theologe, Reformator und Kirchenlieddichter; als Kaplan 1524–1526 in La Punt Chamues-ch",La Punt Chamues-ch
Familie Albertini,La Punt Chamues-ch
"Jakob Albertini (* um 1575 in La Punt; † 1624 ebenda), Doktor beider Rechte, war einer von den fünf reformierten Bündnern, die 1620 dem Veltlinermord in Tirano entgingen.",La Punt Chamues-ch
"Jakob Ulrich Albertini (1630–1697), Sohn des Hauptmanns Ulrich, Doctor juris, veröffentlichte 1675 Trattato dei casi di coscienza.",La Punt Chamues-ch
